epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1608.83,0.37748,0.58197,0.51026,0.88197,0.34687,0.38889,0.41146,0.3699,0.34687,0.38889,0.41146,0.29477,0.96579,3.24499,3.38522,1.31387,0.000396265,0.000396265,0.000396265
43,1640.74,0.41096,0.55949,0.53062,0.87791,0.53915,0.43079,0.42234,0.33745,0.53915,0.43079,0.42234,0.28455,1.06406,3.33929,3.15016,1.41082,0.000389661,0.000389661,0.000389661
44,1673.33,0.37282,0.5342,0.4746,0.84717,0.53412,0.48825,0.44865,0.34994,0.53412,0.48825,0.44865,0.30786,1.24037,3.47096,3.08903,1.54405,0.000383058,0.000383058,0.000383058
45,1704.91,0.38995,0.56312,0.54945,0.87729,0.53412,0.48825,0.44865,0.34994,0.53412,0.48825,0.44865,0.30786,1.24037,3.47096,3.08903,1.54405,0.000376455,0.000376455,0.000376455
46,1737.15,0.38678,0.56923,0.48362,0.88781,0.5235,0.44444,0.46249,0.37019,0.5235,0.44444,0.46249,0.32269,1.29414,3.4918,2.98231,1.59123,0.000369851,0.000369851,0.000369851
47,1769.15,0.42941,0.66994,0.58369,0.88203,0.60701,0.44444,0.43375,0.35285,0.60701,0.44444,0.43192,0.29756,1.37515,3.60352,3.02632,1.61736,0.000363248,0.000363248,0.000363248
48,1801.61,0.34867,0.55616,0.48758,0.87548,0.60701,0.44444,0.43375,0.35285,0.60701,0.44444,0.43192,0.29756,1.37515,3.60352,3.02632,1.61736,0.000356645,0.000356645,0.000356645
49,1832.49,0.37777,0.59181,0.60969,0.8776,0.80027,0.44444,0.45765,0.34546,0.80027,0.44444,0.45581,0.30343,1.33859,3.84145,2.9641,1.64837,0.000350042,0.000350042,0.000350042
50,1862.23,0.4538,0.70168,0.58141,0.91892,0.80027,0.44444,0.45765,0.34546,0.80027,0.44444,0.45581,0.30343,1.33859,3.84145,2.9641,1.64837,0.000343438,0.000343438,0.000343438
51,1892.77,0.38419,0.55489,0.46166,0.8821,0.81182,0.44444,0.46589,0.36205,0.81182,0.44444,0.4628,0.29724,1.17885,3.93943,2.87725,1.54965,0.000336835,0.000336835,0.000336835
52,1922.86,0.37789,0.53072,0.61146,0.8891,0.86329,0.43649,0.46394,0.3439,0.86329,0.43649,0.45977,0.29712,1.07483,3.69324,2.84268,1.44433,0.000330232,0.000330232,0.000330232
53,1955.43,0.33909,0.52671,0.44883,0.84132,0.86329,0.43649,0.46394,0.3439,0.86329,0.43649,0.45977,0.29712,1.07483,3.69324,2.84268,1.44433,0.000323628,0.000323628,0.000323628
54,1987.03,0.34951,0.53095,0.47128,0.86538,0.57242,0.5122,0.46011,0.38188,0.57242,0.5122,0.4553,0.31139,1.1189,3.55571,2.69719,1.42732,0.000317025,0.000317025,0.000317025
55,2018.85,0.40125,0.58253,0.49052,0.88784,0.51279,0.42941,0.43447,0.34487,0.51279,0.42941,0.42869,0.28969,1.09212,3.61306,2.61962,1.47814,0.000310422,0.000310422,0.000310422
56,2051.66,0.36343,0.54883,0.4535,0.8786,0.51279,0.42941,0.43447,0.34487,0.51279,0.42941,0.42869,0.28969,1.09212,3.61306,2.61962,1.47814,0.000303818,0.000303818,0.000303818
57,2083.59,0.33599,0.4682,0.44956,0.85634,0.7365,0.31301,0.41421,0.32553,0.7365,0.31301,0.40903,0.27429,1.09693,3.73617,2.44619,1.48978,0.000297215,0.000297215,0.000297215
58,2115.4,0.45823,1.14818,0.76741,0.95665,0.7365,0.31301,0.41421,0.32553,0.7365,0.31301,0.40903,0.27429,1.09693,3.73617,2.44619,1.48978,0.000290612,0.000290612,0.000290612
59,2145.71,0.37522,0.60944,0.55482,0.90456,0.47235,0.38859,0.41042,0.32094,0.47235,0.38859,0.40798,0.28579,1.15119,3.69315,2.43656,1.50111,0.000284009,0.000284009,0.000284009
60,2177.33,0.38127,0.53486,0.46074,0.8757,0.48754,0.41914,0.41209,0.33898,0.48754,0.41914,0.40726,0.28503,1.076,3.4311,2.58779,1.40263,0.000277405,0.000277405,0.000277405
61,2207.64,0.32359,0.52157,0.44153,0.83543,0.48754,0.41914,0.41209,0.33898,0.48754,0.41914,0.40726,0.28503,1.076,3.4311,2.58779,1.40263,0.000270802,0.000270802,0.000270802
62,2240.35,0.36818,0.51009,0.44721,0.87639,0.78755,0.35187,0.43108,0.33673,0.78755,0.35187,0.42539,0.28149,0.98615,3.19608,2.8727,1.32922,0.000264199,0.000264199,0.000264199
63,2272.39,0.34099,0.49618,0.39411,0.85208,0.79489,0.34619,0.42961,0.332,0.79489,0.34619,0.42832,0.27417,1.01405,3.14501,3.03759,1.34711,0.000257595,0.000257595,0.000257595
64,2302.78,0.34489,0.4744,0.42685,0.86075,0.79489,0.34619,0.42961,0.332,0.79489,0.34619,0.42832,0.27417,1.01405,3.14501,3.03759,1.34711,0.000250992,0.000250992,0.000250992
